loan_id,borrower_id,loan_amount,loan_term,interest_rate,monthly_payment,loan_purpose,employment_length,housing,annual_income,debt_to_income,Default
529372,52007029,7175, 36 months,19.19,263.7,debt_consolidation,7 years,no,33312,29.86,0
424792,60085524,2800, 36 months,15.61,97.91,credit_card,3 years,no,52000,22.16,0
1176179,84996190,35000, 36 months,24.49,1382.18,credit_card,4 years,yes,229000,22.23,0
1335994,78749357,15950, 60 months,11.99,354.72,debt_consolidation,10+ years,no,38000,18.26,1
256674,649309,8400, 36 months,7.29,260.49,wedding,2 years,no,49872,14.56,0
90889,24056096,5000, 36 months,13.98,170.84,vacation,6 years,yes,90000,16.07,1
1113187,88887981,3000, 36 months,11.49,98.92,debt_consolidation,< 1 year,no,114000,12.61,0
822907,8977311,10000, 36 months,7.9,312.91,debt_consolidation,9 years,no,51000,27.31,0
445197,58732558,5000, 36 months,12.69,167.73,home_improvement,3 years,yes,80000,12.95,0
1620936,69732360,18000, 60 months,13.99,418.74,debt_consolidation,< 1 year,yes,40000,25.14,0
208802,12345613,10000, 36 months,7.9,312.91,debt_consolidation,10+ years,yes,120000,7.56,0
588952,46350445,20000, 36 months,15.61,699.3,debt_consolidation,10+ years,yes,128000,20.98,0
326796,65464743,10000, 60 months,9.17,208.41,debt_consolidation,7 years,yes,65000,12.95,0
923005,3535711,8000, 36 months,17.77,288.3,debt_consolidation,6 years,yes,46000,2.53,0
263516,547759,16000, 36 months,16.32,565.05,debt_consolidation,8 years,yes,70000,11.95,0
1380095,77301395,3525, 36 months,22.35,135.27,other,10+ years,yes,48000,21.38,1
160916,16051473,12000, 60 months,14.49,282.28,credit_card,< 1 year,no,48000,22.45,1
1616468,70131501,24000, 60 months,14.85,569.08,credit_card,1 year,no,135000,14.59,0
994623,103742707,7200, 36 months,15.99,253.1,debt_consolidation,2 years,yes,58000,30.68,0
142171,18505832,24000, 36 months,11.67,793.37,debt_consolidation,6 years,yes,115000,14.84,0
842654,7706154,11325, 60 months,22.4,315.37,debt_consolidation,10+ years,yes,50000,20.23,1
360008,63339450,24000, 60 months,13.99,558.32,debt_consolidation,3 years,yes,50000,27.84,0
1312155,84094356,13575, 60 months,15.59,327.17,debt_consolidation,5 years,no,39546,29.65,0
932957,3162311,20000, 36 months,16.29,706.01,credit_card,2 years,no,66500,18.26,0
1154482,85725983,12000, 60 months,15.59,289.21,debt_consolidation,10+ years,no,44000,33.39,0
218261,11396823,12000, 60 months,13.98,279.1,credit_card,5 years,yes,60000,5.16,0
537017,51186139,7200, 36 months,12.29,240.15,debt_consolidation,1 year,no,23000,14.61,0
641000,41419766,26125, 60 months,25.57,775.56,debt_consolidation,10+ years,no,74000,19.61,1
552942,50033891,9600, 36 months,10.99,314.25,credit_card,6 years,no,50000,28.67,0
390514,61553146,24000, 36 months,9.99,774.3,credit_card,10+ years,yes,82744,18.1,0
1471035,92402018,6000, 36 months,17.99,216.89,credit_card,3 years,yes,39000,16.22,0
701389,111773052,20000, 36 months,10.42,649.3,debt_consolidation,3 years,no,108000,19.44,0
1601403,70732124,15000, 36 months,13.67,510.27,credit_card,10+ years,yes,66000,22.33,0
1368163,77470243,24000, 60 months,9.16,500.07,debt_consolidation,2 years,no,62500,25.35,0
890087,5197303,8000, 36 months,11.14,262.45,credit_card,3 years,no,25000,29.47,0
615630,44125399,6000, 36 months,6.92,185.05,credit_card,10+ years,yes,70000,17.48,0
34717,33140617,14050, 60 months,25.57,417.1,debt_consolidation,10+ years,no,32000,30.13,0
1621991,69712165,12000, 36 months,8.49,378.76,credit_card,10+ years,no,43000,30.34,0
630106,42315488,25000, 60 months,25.57,742.17,debt_consolidation,5 years,yes,68000,34.06,1
1419843,95292060,16000, 60 months,15.99,389.01,debt_consolidation,,yes,7000,244.6,0
843260,7705110,13700, 36 months,9.99,442,debt_consolidation,10+ years,yes,45000,30.77,0
680019,39409313,18675, 60 months,14.99,444.18,credit_card,10+ years,yes,39000,25.3,0
1602620,70673883,6000, 36 months,13.67,204.11,debt_consolidation,< 1 year,no,74000,7.4,0
952512,1635485,3250, 36 months,10.16,105.12,credit_card,10+ years,no,30000,12.64,0
1251443,116801152,27000, 36 months,10.42,876.55,debt_consolidation,7 years,no,85000,19.94,0
1208454,119246545,9500, 36 months,11.99,315.5,debt_consolidation,10+ years,yes,28000,33.73,0
786548,105944748,35000, 36 months,19.99,1300.55,debt_consolidation,,no,86000,15.27,0
203390,12397600,10000, 36 months,12.99,336.9,debt_consolidation,10+ years,yes,62000,20.62,1
1526611,75457690,8400, 36 months,9.75,270.06,credit_card,3 years,yes,59000,13.2,0
64670,28873618,9425, 36 months,16.99,335.99,debt_consolidation,8 years,no,42000,18.71,0
285926,68000090,8000, 36 months,11.99,265.68,debt_consolidation,3 years,no,50000,26.77,0
1416585,95192874,11200, 60 months,13.49,257.66,debt_consolidation,10+ years,no,86000,20.23,0
1032862,99252361,15000, 36 months,13.49,508.96,debt_consolidation,2 years,no,96000,6.44,0
1275587,112665495,32000, 36 months,11.99,1062.71,debt_consolidation,10+ years,no,250000,10.86,0
1260522,114947348,6500, 36 months,15.05,225.49,debt_consolidation,3 years,yes,76000,29.75,0
1434282,94446083,25000, 60 months,17.99,634.7,debt_consolidation,10+ years,yes,90000,32.59,0
1221697,116004143,13000, 36 months,15.05,450.97,credit_card,3 years,no,60000,13.16,0
1139839,86993650,7500, 36 months,9.49,240.22,debt_consolidation,10+ years,yes,72000,28.75,0
175467,14619379,14825, 60 months,20.49,396.83,debt_consolidation,10+ years,yes,52000,11.82,1
363071,63398836,18000, 60 months,13.33,412.61,debt_consolidation,7 years,no,77000,17.81,0
788018,106205171,5000, 36 months,10.49,162.49,home_improvement,10+ years,yes,56000,30.58,0
1034424,99380915,9825, 36 months,11.39,323.48,credit_card,4 years,yes,48000,20.78,0
421060,60286525,8000, 36 months,7.89,250.29,other,1 year,no,94000,2.68,0
1131711,87265869,3000, 36 months,13.49,101.8,vacation,4 years,yes,18000,15.07,0
677806,39450268,15000, 36 months,10.49,487.47,credit_card,6 years,no,80000,27.62,0
1563857,73510737,8000, 36 months,9.75,257.2,medical,10+ years,yes,60000,22.98,0
730117,110001838,15775, 36 months,20,586.26,debt_consolidation,1 year,yes,85000,17.18,0
684509,38639215,1525, 36 months,7.49,47.43,credit_card,< 1 year,no,35000,11.42,0
504326,54798418,10000, 36 months,11.53,329.91,debt_consolidation,10+ years,yes,35000,33.3,0
1340379,79280691,5000, 36 months,10.75,163.11,debt_consolidation,6 years,no,30000,16.44,0
506362,54315416,16000, 60 months,12.29,358.27,debt_consolidation,10+ years,yes,96000,28.68,0
1274016,113934012,10000, 36 months,12.62,335.12,house,3 years,yes,60000,26,0
759920,108084761,13600, 36 months,14.08,465.35,credit_card,< 1 year,no,98000,24.44,0
321133,65646918,35000, 60 months,13.18,799.59,debt_consolidation,3 years,yes,115000,5.15,0
65041,28863453,2000, 36 months,10.99,65.47,debt_consolidation,5 years,yes,103000,10.35,0
9469,36039790,5000, 36 months,14.99,173.31,vacation,4 years,yes,130000,9.23,1
754635,105969311,16000, 36 months,11.99,531.36,credit_card,2 years,yes,60000,19.63,0
533468,51756205,20000, 60 months,7.89,404.48,credit_card,2 years,no,75000,17.34,0
15872,35206587,5000, 36 months,14.31,171.65,debt_consolidation,< 1 year,no,21000,8.34,0
1419162,95012424,25000, 60 months,15.99,607.82,credit_card,10+ years,yes,101000,18.73,0
855304,7050087,35000, 36 months,10.64,1139.9,debt_consolidation,10+ years,yes,80000,4.26,0
1402844,75204477,10000, 36 months,15.31,348.18,credit_card,,no,61992,15.91,1
824848,8144958,21000, 60 months,21,568.13,debt_consolidation,10+ years,yes,150000,17.53,0
930869,3239534,7000, 36 months,14.33,240.37,debt_consolidation,3 years,yes,53674.45,11.47,0
1500912,91304410,40000, 36 months,8.59,1264.38,debt_consolidation,< 1 year,yes,200000,14.26,0
907360,4291577,15200, 36 months,12.12,505.73,debt_consolidation,10+ years,yes,60000,27.14,0
1391824,76935487,15000, 36 months,6.97,462.96,debt_consolidation,10+ years,yes,67200,13.91,0
513694,53625043,24000, 36 months,7.26,743.91,home_improvement,10+ years,yes,123528,5.61,0
141784,18496094,20000, 60 months,16.29,489.45,debt_consolidation,10+ years,yes,103500,24.93,0
649088,40601006,25000, 60 months,12.29,559.79,home_improvement,5 years,yes,95000,9.55,0
264360,533878,1500, 36 months,7.51,46.67,home_improvement,6 years,no,29004,9.76,0
1395398,76708551,14400, 60 months,14.46,338.51,other,5 years,yes,120000,28.2,0
25548,34473598,3000, 36 months,8.67,94.94,debt_consolidation,< 1 year,no,60000,16.66,1
49324,31296572,20000, 60 months,14.49,470.47,credit_card,10+ years,no,48000,14.7,0
1258237,113516258,32000, 36 months,7.07,989.1,credit_card,10+ years,yes,250000,13.45,0
636760,42191410,7000, 36 months,14.65,241.46,debt_consolidation,10+ years,yes,57000,15.43,0
1634994,68793408,1000, 36 months,11.48,32.97,credit_card,10+ years,yes,55000,15.14,0
770652,107155504,15000, 36 months,10.49,487.47,debt_consolidation,7 years,yes,115000,13.45,0
665725,39651811,4800, 36 months,12.99,161.71,debt_consolidation,2 years,yes,20500,17.68,0
340249,65150601,16800, 36 months,10.99,549.94,debt_consolidation,10+ years,no,44000,28.34,0
452210,57704944,10000, 36 months,13.33,338.54,debt_consolidation,,yes,40000,15.51,0
1328188,81524826,21000, 60 months,12.99,477.71,credit_card,10+ years,yes,84000,17.6,0
606731,43549338,3700, 36 months,15.61,129.37,debt_consolidation,4 years,yes,20800,34.16,0
452522,56864367,20000, 60 months,16.99,496.95,debt_consolidation,< 1 year,no,104000,18.66,0
47867,31337163,6500, 36 months,14.49,223.71,other,7 years,no,49000,22.7,0
1617179,69981588,24000, 60 months,14.85,569.08,debt_consolidation,4 years,yes,125000,4.1,0
64879,28863619,8400, 36 months,10.15,271.64,debt_consolidation,2 years,yes,45000,17.25,0
450270,58191133,35000, 60 months,9.99,743.48,credit_card,3 years,yes,137500,29.14,1
1062667,96488153,16000, 36 months,14.99,554.57,debt_consolidation,10+ years,yes,101000,8.56,0
713031,111715331,19800, 36 months,7.97,620.19,debt_consolidation,10+ years,yes,99000,18.83,0
500792,55208735,18000, 36 months,10.99,589.22,credit_card,10+ years,yes,70000,38.92,0
942932,2301205,35000, 60 months,21,946.87,debt_consolidation,10+ years,yes,115000,11.58,1
634618,42273619,20000, 36 months,9.99,645.25,debt_consolidation,2 years,yes,125000,16.39,0
218443,11366605,24000, 60 months,14.98,570.71,debt_consolidation,2 years,no,112000,24.7,0
709744,109869986,7000, 36 months,16.02,246.17,debt_consolidation,10+ years,no,70000,11.97,0
1433635,94132263,12000, 36 months,11.49,395.66,debt_consolidation,2 years,no,94750,10.37,0
688553,38437449,11925, 36 months,17.86,430.29,debt_consolidation,4 years,no,92000,15.09,0
1487891,91587559,11200, 36 months,7.49,348.34,debt_consolidation,< 1 year,no,85000,9.43,0
660760,39732394,20050, 36 months,13.66,681.96,debt_consolidation,,no,49000,25.96,1
1085069,96392814,11500, 60 months,18.99,298.26,debt_consolidation,10+ years,yes,32000,16.65,0
983670,1220415,9000, 36 months,7.62,280.46,car,2 years,yes,78000,17.83,0
219802,11434948,5950, 36 months,17.57,213.83,debt_consolidation,10+ years,yes,60000,11.7,0
112692,21361511,14000, 60 months,14.99,332.99,debt_consolidation,10+ years,yes,170000,13.77,1
1556438,72799843,18500, 36 months,15.31,644.13,debt_consolidation,7 years,yes,44000,31.9,0
1278149,114176437,9350, 36 months,24.85,371.02,debt_consolidation,4 years,no,36000,32.13,0
58097,29644885,6025, 36 months,16.99,214.78,debt_consolidation,6 years,yes,20340,21.47,0
1017055,100739207,2000, 36 months,17.99,72.3,debt_consolidation,1 year,no,28500,4.34,0
377320,62166644,11000, 36 months,11.53,362.9,debt_consolidation,< 1 year,no,48500,12.27,0
333703,63390038,6000, 36 months,5.32,180.69,major_purchase,3 years,yes,60000,13.5,0
822296,8958261,15000, 36 months,15.61,524.48,debt_consolidation,4 years,yes,137000,4.2,0
172767,14560689,28000, 60 months,16.59,689.72,credit_card,10+ years,no,72500,21.34,0
1391675,76678682,20000, 60 months,15.31,479.06,debt_consolidation,3 years,yes,160000,9.45,0
618858,43800086,5000, 36 months,13.33,169.27,other,9 years,yes,45000,3.09,0
900334,5085535,21000, 36 months,12.12,698.71,debt_consolidation,4 years,yes,80000,16.61,0
1213039,117919910,10000, 36 months,10.91,326.97,debt_consolidation,,no,32000,13.73,0
402525,60904121,10000, 60 months,18.55,256.94,other,10+ years,yes,70000,30.05,0
1062674,96770252,28000, 60 months,14.99,665.98,debt_consolidation,2 years,yes,100000,31.17,0
1216843,118285151,10000, 36 months,13.59,339.79,debt_consolidation,,yes,31200,34.71,0
94747,24234504,16425, 60 months,25.57,487.6,debt_consolidation,5 years,yes,55000,11.91,0
1532551,74825528,4625, 36 months,10.75,150.87,home_improvement,10+ years,yes,28000,22.12,0
309116,66521796,13000, 36 months,6.24,396.91,credit_card,4 years,yes,35000,26.86,0
1449473,94008940,6000, 36 months,7.24,185.93,credit_card,1 year,no,45000,17.63,0
792935,105313505,8000, 36 months,14.99,277.29,other,10+ years,yes,38000,10.08,0
1414516,95527219,20175, 36 months,7.49,627.48,debt_consolidation,< 1 year,yes,92500,10.15,0
465745,57124295,30000, 60 months,13.33,687.68,debt_consolidation,10+ years,yes,90000,22.89,0
1200469,119390259,15000, 36 months,11.99,498.15,credit_card,1 year,no,36000,19.03,0
1344421,79553364,9225, 36 months,18.99,338.11,small_business,3 years,no,28891,0.96,0
1272252,114786040,7000, 36 months,11.99,232.47,debt_consolidation,< 1 year,yes,17500,20.28,0
737469,109354655,10000, 36 months,16.02,351.67,home_improvement,3 years,yes,120000,19.63,0
1118309,88823119,8000, 36 months,15.59,279.64,debt_consolidation,10+ years,no,33000,31.82,1
552794,49227582,25000, 36 months,12.69,838.63,debt_consolidation,10+ years,yes,62000,13.8,0
768895,107569447,18450, 36 months,13.99,630.49,debt_consolidation,5 years,yes,49200,14.22,0
220870,11305633,9500, 36 months,7.9,297.26,credit_card,9 years,yes,59517,13.77,0
1613407,70321219,35000, 36 months,13.44,1186.72,debt_consolidation,10+ years,yes,120000,25.23,0
1339554,78954249,20000, 36 months,7.89,625.72,debt_consolidation,7 years,yes,109000,12.8,0
645275,40933135,8000, 36 months,7.89,250.29,debt_consolidation,10+ years,yes,70000,17.5,0
1534461,75131089,15000, 36 months,5.32,451.73,debt_consolidation,10+ years,yes,85000,14.61,0
1197973,119690530,14400, 36 months,10.91,470.83,debt_consolidation,< 1 year,yes,70000,11.85,0
1549594,73701311,35000, 60 months,11.99,778.38,debt_consolidation,7 years,yes,458000,19.67,0
1047345,96813301,4200, 36 months,6.99,129.67,debt_consolidation,3 years,yes,80000,17.19,0
1066114,96680714,3600, 36 months,13.49,122.15,debt_consolidation,10+ years,no,25000,18.34,0
556556,49803175,35000, 36 months,7.89,1095,debt_consolidation,3 years,yes,280000,7.98,0
1166839,84092671,18000, 60 months,11.49,395.78,debt_consolidation,,yes,70000,17.47,0
1134593,88034263,23650, 36 months,25.69,948.98,debt_consolidation,10+ years,yes,49300,23.32,0
519600,53131177,16500, 36 months,17.86,595.36,debt_consolidation,5 years,yes,75000,21.04,1
1491158,91674820,40000, 36 months,7.49,1244.07,debt_consolidation,< 1 year,yes,335000,16.71,0
1030455,98718324,7000, 36 months,5.32,210.81,major_purchase,,yes,110000,13.14,0
1140284,87314781,12000, 36 months,12.79,403.12,debt_consolidation,10+ years,yes,57000,9.24,0
275565,603720,5000, 36 months,12.61,167.54,other,2 years,no,46100,2.68,0
121636,16462229,15000, 60 months,13.98,348.87,credit_card,9 years,yes,55000,18.48,0
687477,38647540,8000, 36 months,11.44,263.58,credit_card,9 years,yes,50000,14.47,0
692750,38435194,20000, 36 months,11.99,664.2,debt_consolidation,4 years,yes,60000,25.28,0
49208,27641189,9800, 36 months,7.12,303.14,home_improvement,2 years,yes,195000,16.18,0
1109444,88958711,13000, 36 months,18.99,476.47,debt_consolidation,10+ years,yes,42000,20.66,0
801165,102652465,4800, 36 months,12.74,161.14,car,6 years,yes,50000,15,0
1211383,118555825,35000, 60 months,19.03,908.5,credit_card,3 years,yes,250000,13.43,0
973068,1384945,15000, 36 months,13.11,506.21,credit_card,3 years,yes,85000,12.45,1
1139055,86106876,18000, 60 months,14.49,423.42,debt_consolidation,6 years,no,99600,33.59,0
190951,13145924,2800, 36 months,13.65,95.23,debt_consolidation,7 years,yes,34000,28.8,0
961644,1517587,8000, 36 months,7.9,250.33,credit_card,2 years,yes,33020,23.31,0
793240,104896765,3500, 36 months,12.74,117.5,debt_consolidation,< 1 year,no,22000,30.17,0
1559104,73650333,26675, 60 months,24.99,782.8,major_purchase,3 years,no,58000,6.7,0
802565,101911513,12000, 36 months,5.32,361.38,home_improvement,10+ years,yes,92000,10.59,0
326213,65644737,10000, 36 months,5.32,301.15,debt_consolidation,10+ years,no,56000,15,0
1469283,93031343,5000, 36 months,8.24,157.24,debt_consolidation,4 years,no,60000,10.64,0
1258959,113847142,21600, 60 months,11.99,480.38,home_improvement,1 year,yes,60000,20.46,0
1466424,93051901,2000, 36 months,11.44,65.9,debt_consolidation,7 years,no,42000,12.37,1
828346,8265787,10000, 36 months,7.9,312.91,credit_card,10+ years,no,64000,18.47,0
1010384,102225677,6000, 36 months,12.74,201.42,debt_consolidation,< 1 year,no,90000,10.43,0
1146230,86852124,8000, 36 months,16.99,285.19,debt_consolidation,< 1 year,yes,48000,13.4,0
1440588,93870024,13500, 60 months,11.44,296.5,debt_consolidation,10+ years,yes,75000,17.63,0
1514337,76092852,9600, 36 months,9.16,306,debt_consolidation,7 years,yes,98000,18.58,0
508296,54524578,10000, 36 months,11.53,329.91,credit_card,4 years,yes,40000,18.69,0
1427250,95178579,30000, 36 months,8.24,943.42,credit_card,10+ years,yes,130000,8.72,0
99116,23603237,10000, 36 months,6.03,304.36,debt_consolidation,2 years,yes,103000,12.68,0
241359,980542,10000, 36 months,7.9,312.91,small_business,< 1 year,yes,187000,11.13,0
1039208,98926083,17650, 60 months,23.99,507.66,debt_consolidation,6 years,yes,41000,28.83,0
736338,110182124,3000, 36 months,20,111.5,other,< 1 year,yes,55000,21.47,0
561871,48666127,30000, 60 months,13.33,687.68,credit_card,10+ years,yes,65000,30.62,0
925340,3380791,8000, 36 months,10.16,258.74,credit_card,10+ years,yes,65000,30.25,0
1038360,99219854,6000, 36 months,12.74,201.42,major_purchase,10+ years,yes,50000,19.35,0
1200818,119305071,40000, 60 months,13.59,922.25,other,10+ years,no,220000,5.83,0
300134,66995209,15000, 36 months,9.17,478.19,credit_card,5 years,no,150000,9.91,1
1079875,96386734,6000, 36 months,12.74,201.42,credit_card,,yes,38000,24.86,0
674454,38538771,10225, 36 months,19.24,376.05,debt_consolidation,6 years,yes,20582.4,10.96,0
776723,106835154,18000, 36 months,7.49,559.83,debt_consolidation,2 years,yes,177000,11.83,0
1559762,73814103,32500, 60 months,25.88,970.76,debt_consolidation,< 1 year,yes,65000,15.12,0
869203,6581217,3000, 36 months,21.6,113.96,other,1 year,no,40000,24.36,0
622586,43470880,7000, 36 months,12.29,233.48,debt_consolidation,< 1 year,no,32000,7.54,0
14746,35693213,11000, 36 months,8.19,345.67,debt_consolidation,7 years,yes,99400,26.14,0
1079365,96458852,14800, 36 months,22.74,570.91,debt_consolidation,6 years,yes,37000,21.05,0
124417,20368414,12725, 36 months,14.49,437.95,debt_consolidation,< 1 year,no,150000,7.94,0
898542,5186486,16375, 60 months,21,443,debt_consolidation,7 years,yes,62000,19.35,0
1499652,91453717,15000, 36 months,7.59,467.22,credit_card,10+ years,no,112000,23.73,0
207535,12307017,5600, 36 months,10.99,183.32,debt_consolidation,4 years,yes,95000,16.71,0
917356,3805800,10000, 36 months,15.8,350.59,debt_consolidation,7 years,no,50000,17.86,0
1454438,93741073,7000, 36 months,10.49,227.49,debt_consolidation,4 years,yes,27000,26.49,0
733496,109335792,10000, 36 months,23.88,391.7,credit_card,6 years,yes,62000,24.54,0
1120190,88158767,6000, 36 months,14.49,206.5,debt_consolidation,,yes,50000,9.46,0
1462996,92851588,25600, 36 months,19.99,951.26,debt_consolidation,6 years,no,199000,19.58,0
54931,29273748,9125, 36 months,18.99,334.45,home_improvement,3 years,yes,100000,13.86,1
45201,31437176,11850, 36 months,14.49,407.84,credit_card,8 years,no,27000,26.89,0
41457,19607156,11875, 60 months,24.99,348.48,other,8 years,yes,55000,17.43,0
1388829,77019737,9450, 36 months,16.29,333.59,credit_card,7 years,yes,27000,29.07,0
379289,61812517,30000, 60 months,20.99,811.44,debt_consolidation,3 years,yes,92000,15.01,1
976403,1337216,12000, 36 months,10.74,391.39,debt_consolidation,7 years,yes,63000,29.24,0
